City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Bengaluru,1/1/2020,30.71,70.8,9.03,27.31,26.74,13.01,1.07,8.56,37.39,1.05,36.19,,82,Satisfactory
Bengaluru,1/2/2020,25.78,62.73,8.81,28.05,30.18,12.4,1.16,7.52,33.11,0.95,34.36,,81,Satisfactory
Bengaluru,1/3/2020,29.66,69.62,6.62,26.26,26.92,12.87,0.99,6.4,32.98,1.06,29.06,,85,Satisfactory
Bengaluru,1/4/2020,52.62,106.81,15.46,31.56,41.89,14.59,1.39,6.94,37.35,1.5,35.36,,95,Satisfactory
Bengaluru,1/5/2020,52.64,97.94,6.86,29.1,29.52,15.68,1.01,7.01,45.1,1.19,39.99,,118,Moderate
Bengaluru,1/6/2020,24.74,62.08,8.08,27.57,31.18,13.94,1.09,6.97,25.22,0.69,5.39,,81,Satisfactory
Bengaluru,1/7/2020,22.52,62.95,10.11,29.93,32.13,11.75,1.06,7.35,28.66,1.03,16.53,,75,Satisfactory
Bengaluru,1/8/2020,30.92,74.18,5.8,30.86,28.53,12.61,1.03,6.61,47.48,0.99,15.86,,93,Satisfactory
Bengaluru,1/9/2020,40.57,85.93,7.15,33.79,32.74,13.74,1.09,6.01,45.49,0.99,15.04,,101,Moderate
Bengaluru,1/10/2020,39.29,83.02,8.07,36.97,35.92,14.54,1.05,7.71,39.61,0.83,16.79,,94,Satisfactory
Bengaluru,1/11/2020,31.1,66.98,6.52,29.13,28.01,13.03,0.89,6.72,40.4,0.79,16.36,,78,Satisfactory
Bengaluru,1/12/2020,39.5,75.34,7.01,30.57,30.05,14.27,0.97,7.38,37.47,0.81,16.7,,79,Satisfactory
Bengaluru,1/13/2020,53.93,97.81,10.78,38.77,41.27,15.06,1.11,6.51,46.68,1.04,19.3,,106,Moderate
Bengaluru,1/14/2020,64.35,108.24,10.27,43.03,43.97,15.71,1.08,7.03,47.83,1.07,19.47,,121,Moderate
Bengaluru,1/15/2020,45.19,79.82,10.74,35.06,37.49,13.94,0.93,7.78,55.92,0.75,12.19,,111,Moderate
Bengaluru,1/16/2020,39.36,84.68,7.12,38.18,37.98,13.75,1.2,7.7,59.83,0.4,1.15,,114,Moderate
Bengaluru,1/17/2020,34.68,85.16,12.3,39.38,43.73,13.59,1.27,7.3,43.88,0.52,2.73,,106,Moderate
Bengaluru,1/18/2020,26.9,65.04,6.83,26.29,28.93,14.38,0.95,5.81,24.91,0.46,1.65,,86,Satisfactory
Bengaluru,1/19/2020,26.66,59.29,5.34,23.43,25.93,13.36,0.96,5.8,29.97,0.45,1.05,,66,Satisfactory
Bengaluru,1/20/2020,34.51,82.12,6.77,33.42,35.46,14.44,1.07,5.74,35.59,0.47,1.37,,81,Satisfactory
Bengaluru,1/21/2020,37.86,84.98,6.26,33.67,33.87,14.19,1.1,6.86,36.29,0.47,1.34,,90,Satisfactory
Bengaluru,1/22/2020,28.25,71.37,6.1,30.62,31.73,14.77,1.23,6.35,32.1,0.44,1.31,,87,Satisfactory
Bengaluru,1/23/2020,41.13,76.02,8.76,30.76,30.61,14.45,1.1,7.64,31.17,0.48,1.4,,82,Satisfactory
Bengaluru,1/24/2020,42.19,84.68,7.99,39.01,40.6,13.91,1.22,7.44,29.94,0.5,1.55,,108,Moderate
Bengaluru,1/25/2020,44.82,95.52,10.87,46.43,49.87,14.99,1.23,6.85,30.14,0.54,1.61,,100,Satisfactory
Bengaluru,1/26/2020,44.48,93.93,9.21,45.71,48.99,16.11,1.1,8.32,36.55,0.44,1.37,,97,Satisfactory
Bengaluru,1/27/2020,45.49,92.25,12.1,41.23,46.01,17.79,1.24,9.36,42.71,0.39,1.47,,98,Satisfactory
Bengaluru,1/28/2020,52.63,98.54,6.61,33.37,34.73,17.5,1.17,13.04,47.28,0.43,1.34,,102,Moderate
Bengaluru,1/29/2020,46.45,100.44,8.04,38.65,38.26,13.87,0.99,11.45,50.62,0.63,1.8,,115,Moderate
Bengaluru,1/30/2020,43.42,107.2,17.25,47.61,53.47,14.17,1.19,9.86,37.97,0.81,2.12,,112,Moderate
Bengaluru,1/31/2020,46.36,102.88,5.39,37.62,35.68,14.39,1.05,8.97,47.97,0.65,4.32,,111,Moderate
